millis,mouseX,mouseY,target_x,target_y,target_size,click,Success,frame_number,landmark_detection_success,landmark_detection_confidence,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,eye_lmk_X_0,eye_lmk_Y_0,eye_lmk_Z_0,eye_lmk_X_1,eye_lmk_Y_1,eye_lmk_Z_1,eye_lmk_X_2,eye_lmk_Y_2,eye_lmk_Z_2,eye_lmk_X_3,eye_lmk_Y_3,eye_lmk_Z_3,eye_lmk_X_4,eye_lmk_Y_4,eye_lmk_Z_4,eye_lmk_X_5,eye_lmk_Y_5,eye_lmk_Z_5,eye_lmk_X_6,eye_lmk_Y_6,eye_lmk_Z_6,eye_lmk_X_7,eye_lmk_Y_7,eye_lmk_Z_7,eye_lmk_X_28,eye_lmk_Y_28,eye_lmk_Z_28,eye_lmk_X_29,eye_lmk_Y_29,eye_lmk_Z_29,eye_lmk_X_30,eye_lmk_Y_30,eye_lmk_Z_30,eye_lmk_X_31,eye_lmk_Y_31,eye_lmk_Z_31,eye_lmk_X_32,eye_lmk_Y_32,eye_lmk_Z_32,eye_lmk_X_33,eye_lmk_Y_33,eye_lmk_Z_33,eye_lmk_X_34,eye_lmk_Y_34,eye_lmk_Z_34,eye_lmk_X_35,eye_lmk_Y_35,eye_lmk_Z_35,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25009,1155,994,0,0,64,0,0,11,1,0.975,0.18393,0.123941,-0.975094,-0.067773,0.121483,-0.990277,-58.145912,-148.329468,512.297424,-56.725143,-152.758484,512.895569,-52.730721,-154.753204,512.995361,-48.511829,-153.138901,512.53833,-46.545887,-148.870621,511.792236,-47.680225,-144.194733,511.401794,-51.95649,-142.469009,511.094299,-56.166832,-144.070023,511.551331,1.439227,-141.495682,488.903381,3.057009,-145.92308,490.376099,7.058464,-147.820038,491.802429,11.098928,-146.051208,492.346802,12.78791,-141.654984,491.690338,11.136683,-137.230835,490.217621,7.136162,-135.368042,488.791321,2.787526,-136.825714,488.358795,-22.676069,-112.439827,520.259155,-0.052858,-0.019485,-0.018834, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25030,1155,994,0,0,64,0,0,12,1,0.975,0.181281,0.128148,-0.975046,-0.067905,0.119992,-0.99045,-57.924122,-147.631241,510.010376,-56.495613,-152.064774,510.625214,-52.498985,-154.067047,510.81369,-48.283348,-152.458176,510.465393,-46.325035,-148.188629,509.784363,-47.475677,-143.507767,509.386597,-51.748623,-141.774094,508.981079,-55.954575,-143.371613,509.329346,1.397033,-140.978302,487.217316,3.01118,-145.40181,488.728363,7.011896,-147.290894,490.167053,11.054435,-145.514404,490.690582,12.746618,-141.115829,489.992279,11.098309,-136.696411,488.481201,7.099246,-134.842087,487.042542,2.749755,-136.304596,486.627625,-22.66997,-112.308075,519.989319,-0.050403,-0.019116,-0.018706, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25063,1155,994,0,0,64,0,0,13,1,0.975,0.1842,0.113701,-0.97629,-0.065208,0.120438,-0.990577,-57.49752,-146.921646,506.883453,-56.047951,-151.350067,507.42868,-52.026836,-153.316925,507.421478,-47.800285,-151.664978,506.866119,-45.848988,-147.37265,506.087891,-47.004715,-142.698029,505.744049,-51.311546,-140.99968,505.549835,-55.531273,-142.636475,506.105225,1.376028,-139.130615,480.587616,2.992443,-143.583908,482.095886,6.985624,-145.498337,483.65033,11.01762,-143.726181,484.340393,12.701169,-139.306274,483.761841,11.048976,-134.853973,482.253571,7.054136,-132.976715,480.699127,2.708251,-134.440536,480.112396,-22.638359,-112.400696,520.376343,-0.049731,-0.01896,-0.018351, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25096,1155,994,0,0,64,0,0,14,1,0.975,0.192754,0.107125,-0.975382,-0.065572,0.113953,-0.99132,-57.209351,-146.521851,504.999237,-55.743961,-150.954224,505.677429,-51.718655,-152.91568,505.796539,-47.502041,-151.250168,505.286743,-45.571114,-146.944061,504.446716,-46.753029,-142.257721,503.967987,-51.056442,-140.575455,503.649384,-55.263279,-142.225754,504.15918,1.417581,-139.041931,480.196167,3.011207,-143.494308,481.699036,6.997095,-145.424835,483.217285,11.041073,-143.676849,483.861481,12.749194,-139.275406,483.254272,11.120182,-134.824646,481.751373,7.133297,-132.930618,480.233154,2.779557,-134.367462,479.694275,-22.629892,-112.261971,519.782715,-0.050945,-0.019496,-0.017815, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25139,1155,994,0,0,64,0,0,15,1,0.975,0.198394,0.107904,-0.974165,-0.072973,0.113571,-0.990846,-56.874687,-145.697311,502.371552,-55.420807,-150.144653,503.056244,-51.392445,-152.120743,503.166138,-47.160404,-150.460815,502.636902,-45.210754,-146.148361,501.778534,-46.37867,-141.447144,501.291809,-50.687199,-139.750824,500.983948,-54.909355,-141.39502,501.513184,1.290954,-137.871338,476.137817,2.860445,-142.327927,477.664032,6.821362,-144.27536,479.244232,10.855004,-142.546021,479.952728,12.572754,-138.153351,479.374481,10.966769,-133.697266,477.848236,7.003617,-131.787735,476.268066,2.659472,-133.205673,475.659485,-22.6201,-112.341469,519.847412,-0.053514,-0.02155,-0.017443, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25170,1155,994,0,0,64,0,0,16,1,0.975,0.192368,0.108635,-0.975291,-0.067909,0.111989,-0.991386,-57.349865,-146.962631,506.499146,-55.950241,-151.410828,507.230469,-51.973305,-153.445526,507.541107,-47.756485,-151.865829,507.249023,-45.778774,-147.604935,506.52536,-46.908012,-142.905991,506.010498,-51.156868,-141.145798,505.483368,-55.361172,-142.714432,505.775452,1.346781,-138.385117,477.653198,2.900127,-142.836334,479.24469,6.862207,-144.77739,480.814941,10.912333,-143.044357,481.444153,12.651709,-138.654312,480.763702,11.061205,-134.205811,479.172241,7.098791,-132.302795,477.601959,2.742972,-133.717239,477.068939,-22.613415,-112.358437,519.789063,-0.05171,-0.02072,-0.018285, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25201,1155,994,0,0,64,0,0,17,1,0.975,0.18625,0.107726,-0.976579,-0.057374,0.10824,-0.992468,-56.980587,-145.804916,502.400665,-55.576252,-150.254166,503.076141,-51.591732,-152.290802,503.35495,-47.36853,-150.713501,503.073853,-45.388744,-146.453705,502.39743,-46.521275,-141.757385,501.942078,-50.77874,-139.990143,501.443146,-54.990311,-141.55687,501.724243,1.490345,-139.533951,480.977936,3.082938,-143.969147,482.554047,7.056174,-145.87178,484.118042,11.082735,-144.100769,484.753723,12.778033,-139.695496,484.088715,11.148857,-135.263062,482.512604,7.175422,-133.39798,480.948608,2.839533,-134.854843,480.410095,-22.651888,-112.486603,519.96875,-0.05078,-0.018492,-0.018525, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25232,1155,994,0,0,64,0,0,18,1,0.975,0.182549,0.104413,-0.977637,-0.06634,0.11443,-0.991214,-57.37011,-146.802658,505.569,-55.946861,-151.219467,506.19516,-51.960228,-153.208435,506.34201,-47.754597,-151.597626,505.923584,-45.80027,-147.339722,505.184967,-46.942402,-142.675873,504.767944,-51.206837,-140.956512,504.411957,-55.403008,-142.554428,504.830383,1.307582,-138.5979,478.158722,2.867407,-143.043243,479.726227,6.827423,-144.97821,481.279816,10.868169,-143.242737,481.909393,12.596819,-138.85524,481.246185,11.000403,-134.412384,479.67865,7.039971,-132.514969,478.125061,2.692965,-133.933899,477.593719,-22.647684,-112.457001,519.622314,-0.051415,-0.018751,-0.018634, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25276,1155,994,0,0,64,0,0,19,1,0.975,0.19352,0.1111,-0.974786,-0.067814,0.122154,-0.990192,-57.251083,-146.502823,504.761993,-55.79493,-150.918274,505.361908,-51.781853,-152.879395,505.464233,-47.572197,-151.231064,505.009033,-45.637985,-146.948486,504.26297,-46.810776,-142.284531,503.870758,-51.10244,-140.594345,503.56073,-55.303474,-142.229111,504.01593,1.325868,-138.714142,478.775879,2.885693,-143.16127,480.377075,6.838098,-145.090714,481.982513,10.868473,-143.344971,482.651764,12.589442,-138.948212,481.992767,10.992183,-134.503311,480.391571,7.038834,-132.612427,478.786133,2.699856,-134.040924,478.210083,-22.696695,-112.442734,519.62207,-0.052808,-0.019098,-0.017991, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25309,1155,994,0,0,64,0,0,20,1,0.975,0.188687,0.097485,-0.977187,-0.060212,0.107335,-0.992398,-57.379963,-146.913239,505.828064,-55.983101,-151.350906,506.626831,-52.013969,-153.369598,506.92511,-47.806904,-151.777374,506.548157,-45.835678,-147.516266,505.716797,-46.960094,-142.823578,505.122955,-51.201748,-141.086426,504.619751,-55.395618,-142.665482,504.996704,1.449411,-139.950928,482.548004,3.005596,-144.371033,484.138672,6.947674,-146.28421,485.694153,10.966281,-144.543411,486.303284,12.68165,-140.170609,485.609192,11.089087,-135.753632,484.018524,7.14722,-133.877686,482.463043,2.823421,-135.301224,481.949127,-22.665127,-112.453384,519.775696,-0.05246,-0.019197,-0.018855, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
