millis,mouseX,mouseY,target_x,target_y,target_size,click,Success,frame_number,landmark_detection_success,landmark_detection_confidence,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,eye_lmk_X_0,eye_lmk_Y_0,eye_lmk_Z_0,eye_lmk_X_1,eye_lmk_Y_1,eye_lmk_Z_1,eye_lmk_X_2,eye_lmk_Y_2,eye_lmk_Z_2,eye_lmk_X_3,eye_lmk_Y_3,eye_lmk_Z_3,eye_lmk_X_4,eye_lmk_Y_4,eye_lmk_Z_4,eye_lmk_X_5,eye_lmk_Y_5,eye_lmk_Z_5,eye_lmk_X_6,eye_lmk_Y_6,eye_lmk_Z_6,eye_lmk_X_7,eye_lmk_Y_7,eye_lmk_Z_7,eye_lmk_X_28,eye_lmk_Y_28,eye_lmk_Z_28,eye_lmk_X_29,eye_lmk_Y_29,eye_lmk_Z_29,eye_lmk_X_30,eye_lmk_Y_30,eye_lmk_Z_30,eye_lmk_X_31,eye_lmk_Y_31,eye_lmk_Z_31,eye_lmk_X_32,eye_lmk_Y_32,eye_lmk_Z_32,eye_lmk_X_33,eye_lmk_Y_33,eye_lmk_Z_33,eye_lmk_X_34,eye_lmk_Y_34,eye_lmk_Z_34,eye_lmk_X_35,eye_lmk_Y_35,eye_lmk_Z_35,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz
20203,1089,384,0,0,32,0,0,11, 1, 0.975000, 0.157202, 0.132306, -0.978664, -0.122586, 0.151443, -0.980835, -60.389477, -179.938889, 455.276581, -59.179688, -184.520691, 455.925995, -55.270679, -186.725754, 456.062195, -50.962734, -185.254135, 455.605408, -48.787506, -180.978378, 454.823212, -49.701389, -176.183640, 454.380768, -53.903053, -174.218170, 454.037598, -58.199509, -175.674911, 454.494385, -0.450624, -176.637466, 445.969299, 1.300909, -181.165985, 447.014496, 5.440753, -183.105728, 447.905731, 9.540211, -181.302414, 448.120911, 11.180129, -176.816559, 447.534027, 9.403490, -172.293930, 446.488861, 5.268789, -170.379623, 445.597626, 0.865708, -171.906693, 445.553802, -23.172878, -146.833267, 473.495270, -0.051050, -0.061562, -0.038770, 
20235,1089,384,0,0,32,0,0,12, 1, 0.975000, 0.160494, 0.132712, -0.978074, -0.121871, 0.147788, -0.981482, -60.408798, -179.893219, 455.265137, -59.165192, -184.484924, 456.055573, -55.236885, -186.647552, 456.190674, -50.938465, -185.104538, 455.591278, -48.797413, -180.773193, 454.608521, -49.743935, -175.955109, 454.005157, -53.963715, -174.051697, 453.683014, -58.248688, -175.575684, 454.282410, -0.430437, -177.489868, 447.963165, 1.344378, -182.004608, 449.012268, 5.498480, -183.906342, 449.850708, 9.593458, -182.063766, 449.987335, 11.213340, -177.561661, 449.342102, 9.414153, -173.054611, 448.292999, 5.267067, -171.177368, 447.454559, 0.870101, -172.742630, 447.491608, -23.256166, -146.832809, 473.648163, -0.050297, -0.059176, -0.038524, 
20269,1089,384,0,0,32,0,0,13, 1, 0.975000, 0.161005, 0.150366, -0.975432, -0.119585, 0.142936, -0.982481, -60.635910, -180.269485, 456.926422, -59.360962, -184.891052, 457.829071, -55.396919, -187.036713, 457.968994, -51.081722, -185.438629, 457.264252, -48.953712, -181.048599, 456.127655, -49.929852, -176.189774, 455.398071, -54.185318, -174.318909, 455.085083, -58.485535, -175.894882, 455.789825, -0.469871, -177.522858, 448.100067, 1.302530, -182.051056, 449.201385, 5.459471, -183.956894, 450.070770, 9.560463, -182.105896, 450.198975, 11.185178, -177.588333, 449.510895, 9.387343, -173.068558, 448.409576, 5.238083, -171.188248, 447.540192, 0.835663, -172.757599, 447.580963, -23.326674, -146.717133, 473.646942, -0.048892, -0.057909, -0.038140, 
20290,1089,384,0,0,32,0,0,14, 1, 0.975000, 0.141630, 0.201835, -0.969125, -0.134052, 0.177693, -0.974913, -61.523197, -180.692657, 461.000610, -60.154816, -185.407303, 461.965576, -56.066238, -187.519470, 461.951080, -51.673447, -185.781235, 460.965607, -49.559483, -181.231445, 459.586426, -50.612473, -176.264374, 458.770355, -55.000710, -174.448746, 458.635986, -59.379620, -176.157852, 459.621460, -0.941541, -181.060349, 459.359344, 0.845892, -185.636490, 460.373993, 5.073967, -187.538498, 460.990906, 9.256972, -185.637466, 460.848724, 10.929801, -181.056107, 460.030701, 9.121459, -176.492889, 459.016052, 4.906052, -174.611725, 458.399139, 0.431713, -176.224106, 458.731567, -23.457804, -146.780136, 474.884613, -0.047121, -0.059389, -0.040835, 
20324,1089,384,0,0,32,0,0,15, 1, 0.975000, 0.109799, 0.217924, -0.969770, -0.127165, 0.204652, -0.970539, -63.723537, -185.702621, 475.640015, -62.438217, -190.374222, 476.131348, -58.382317, -192.578613, 476.098816, -53.942551, -191.019135, 475.561432, -51.724770, -186.620346, 474.834045, -52.696632, -181.736450, 474.557343, -57.057896, -179.767395, 474.375244, -61.490456, -181.311310, 474.912598, -1.011538, -183.483047, 467.241150, 0.803660, -188.043304, 468.065918, 5.045091, -189.967239, 468.757172, 9.224998, -188.114029, 468.910004, 10.881332, -183.572632, 468.434845, 9.046960, -179.017181, 467.610107, 4.809970, -177.112778, 466.918823, 0.322151, -178.702667, 466.965942, -23.708746, -146.898132, 476.323578, -0.041998, -0.056382, -0.040869, 
20359,1089,384,0,0,32,0,0,16, 1, 0.975000, 0.106787, 0.220441, -0.969537, -0.126581, 0.202945, -0.970974, -63.396545, -184.077393, 472.126434, -62.059521, -188.769623, 472.641663, -57.954399, -190.909271, 472.461548, -53.500664, -189.238342, 471.691589, -51.311447, -184.750717, 470.782806, -52.322994, -179.837158, 470.460510, -56.738712, -177.946579, 470.447723, -61.186485, -179.596237, 471.217682, -1.195519, -182.725861, 465.712036, 0.561890, -187.316895, 466.623047, 4.774423, -189.295639, 467.372559, 8.970854, -187.487808, 467.521515, 10.678095, -182.956314, 466.982635, 8.899624, -178.370804, 466.071625, 4.692159, -176.413483, 465.322144, 0.192718, -177.947739, 465.364502, -23.878286, -146.836914, 476.746307, -0.041464, -0.053216, -0.041770, 
20389,1089,384,0,0,32,0,0,17, 1, 0.975000, 0.099300, 0.213938, -0.971787, -0.137237, 0.208799, -0.968282, -63.726471, -184.441772, 473.000305, -62.405064, -189.145264, 473.620605, -58.318775, -191.304718, 473.518158, -53.876438, -189.648926, 472.752960, -51.686150, -185.163116, 471.773224, -52.687115, -180.233200, 471.340729, -57.080692, -178.330719, 471.255371, -61.514763, -179.964844, 472.020599, -1.370549, -181.658203, 463.526337, 0.370721, -186.275833, 464.435669, 4.592444, -188.281143, 465.152496, 8.817390, -186.484482, 465.256897, 10.555904, -181.942825, 464.687714, 8.793786, -177.331543, 463.778381, 4.578019, -175.347397, 463.061584, 0.053427, -176.866226, 463.151215, -24.012518, -146.567780, 476.196747, -0.041471, -0.049449, -0.040481, 
20433,1089,384,0,0,32,0,0,18, 1, 0.975000, 0.123931, 0.210343, -0.969741, -0.130633, 0.181751, -0.974629, -62.944866, -183.078476, 468.620728, -61.571133, -187.762985, 469.257416, -57.469013, -189.838120, 469.007202, -53.060333, -188.082886, 468.016663, -50.932365, -183.544601, 466.866028, -51.976563, -178.625809, 466.393921, -56.388195, -176.819656, 466.479553, -60.790203, -178.547836, 467.470093, -1.102439, -186.872345, 474.600708, 0.788668, -191.430679, 475.633728, 5.082423, -193.217361, 476.122040, 9.251393, -191.172668, 475.779633, 10.840375, -186.506546, 474.807037, 8.930686, -181.965424, 473.774017, 4.654140, -180.197220, 473.285706, 0.193821, -181.951126, 473.823730, -24.127962, -146.717529, 476.592316, -0.041455, -0.046295, -0.039819, 
20455,1089,384,0,0,32,0,0,19, 1, 0.975000, 0.176398, 0.132447, -0.975367, -0.114637, 0.108355, -0.987480, -62.084473, -185.276047, 468.500641, -60.898891, -189.925552, 469.426727, -57.005554, -192.197968, 469.850891, -52.694599, -190.749283, 469.524658, -50.504162, -186.437653, 468.639130, -51.414337, -181.560501, 467.918671, -55.587811, -179.547379, 467.288879, -59.880623, -180.982605, 467.615112, -0.873156, -181.609406, 455.801605, 0.835966, -186.195496, 457.219757, 4.965659, -188.153091, 458.284180, 9.089065, -186.313568, 458.371368, 10.768456, -181.763062, 457.430206, 9.027753, -177.189133, 456.012054, 4.908986, -175.262482, 454.947601, 0.491795, -176.793869, 454.998138, -24.085081, -146.525299, 474.511597, -0.040712, -0.041157, -0.038477, 
20488,1089,384,0,0,32,0,0,20, 1, 0.975000, 0.179398, 0.084501, -0.980141, -0.123117, 0.096954, -0.987645, -60.235760, -180.462753, 453.371735, -59.195400, -185.117279, 454.661652, -55.510555, -187.514420, 455.758575, -51.341511, -186.228516, 456.019897, -49.151924, -182.015549, 455.292572, -49.975719, -177.122253, 454.236511, -53.905014, -174.997955, 452.905731, -58.043686, -176.280075, 452.644409, -0.978507, -174.700912, 437.252563, 0.696190, -179.293076, 438.656433, 4.782723, -181.298904, 439.854828, 8.882702, -179.519211, 440.145721, 10.570220, -175.002319, 439.358765, 8.861316, -170.418320, 437.954895, 4.781209, -168.446686, 436.756531, 0.382848, -169.925385, 436.596680, -24.085596, -146.116730, 472.186432, -0.038550, -0.040409, -0.036808, 
