millis,mouseX,mouseY,target_x,target_y,target_size,click,Success,frame_number,landmark_detection_success,landmark_detection_confidence,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,eye_lmk_X_0,eye_lmk_Y_0,eye_lmk_Z_0,eye_lmk_X_1,eye_lmk_Y_1,eye_lmk_Z_1,eye_lmk_X_2,eye_lmk_Y_2,eye_lmk_Z_2,eye_lmk_X_3,eye_lmk_Y_3,eye_lmk_Z_3,eye_lmk_X_4,eye_lmk_Y_4,eye_lmk_Z_4,eye_lmk_X_5,eye_lmk_Y_5,eye_lmk_Z_5,eye_lmk_X_6,eye_lmk_Y_6,eye_lmk_Z_6,eye_lmk_X_7,eye_lmk_Y_7,eye_lmk_Z_7,eye_lmk_X_28,eye_lmk_Y_28,eye_lmk_Z_28,eye_lmk_X_29,eye_lmk_Y_29,eye_lmk_Z_29,eye_lmk_X_30,eye_lmk_Y_30,eye_lmk_Z_30,eye_lmk_X_31,eye_lmk_Y_31,eye_lmk_Z_31,eye_lmk_X_32,eye_lmk_Y_32,eye_lmk_Z_32,eye_lmk_X_33,eye_lmk_Y_33,eye_lmk_Z_33,eye_lmk_X_34,eye_lmk_Y_34,eye_lmk_Z_34,eye_lmk_X_35,eye_lmk_Y_35,eye_lmk_Z_35,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18293,0,0,0,0,64,0,0,11,1,0.975,0.164159,0.085575,-0.982715,-0.099194,0.100635,-0.989966,-65.956436,-158.391327,480.791901,-64.690964,-162.90184,481.450439,-60.782475,-165.072891,481.773743,-56.526642,-163.623642,481.572357,-54.425438,-159.409363,480.964325,-55.420265,-154.670563,480.534058,-59.603283,-152.749481,479.982483,-63.846485,-154.189835,480.183838,-5.637018,-145.950546,443.709991,-3.848887,-150.420197,445.010132,0.24707,-152.268509,446.355682,4.251725,-150.387787,446.958435,5.795166,-145.880737,446.465332,3.97304,-141.412521,445.165222,-0.123253,-139.599533,443.819672,-4.453691,-141.195953,443.347778,-28.458735,-119.740623,476.624664,-0.112025,-0.003754,-0.048026, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18325,0,0,0,0,64,0,0,12,1,0.975,0.157962,0.087003,-0.983605,-0.101339,0.102602,-0.989547,-65.94046,-158.453674,480.519806,-64.646996,-162.928909,481.064972,-60.731129,-165.06424,481.312286,-56.492298,-163.601501,481.116913,-54.420761,-159.403198,480.593231,-55.44157,-154.7052,480.281372,-59.632404,-152.81105,479.800751,-63.86105,-154.265762,479.996124,-5.651047,-146.155121,443.944092,-3.858717,-150.628204,445.285675,0.24246,-152.466888,446.645142,4.249658,-150.568665,447.226074,5.790943,-146.047256,446.688202,3.963894,-141.57663,445.346588,-0.136686,-139.77388,443.987152,-4.469043,-141.38472,443.533936,-28.496685,-120.196701,477.586945,-0.111876,-0.00286,-0.047548, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18357,0,0,0,0,64,0,0,13,1,0.975,0.179735,0.079137,-0.980527,-0.091295,0.091068,-0.991651,-65.844009,-159.760422,483.162903,-64.579796,-164.276184,483.847961,-60.677044,-166.458908,484.242615,-56.427135,-165.020279,484.115692,-54.329185,-160.808289,483.541534,-55.329731,-156.064285,483.089752,-59.502438,-154.131042,482.461823,-63.73877,-155.56221,482.588745,-5.477993,-147.02298,445.149231,-3.690379,-151.506302,446.58847,0.397024,-153.339355,448.05307,4.389523,-151.421158,448.685089,5.922143,-146.877396,448.114288,4.09742,-142.396912,446.675049,0.010489,-140.602325,445.210449,-4.308489,-142.229874,444.694,-28.375628,-120.409348,477.29126,-0.117751,-0.003637,-0.047171, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18388,0,0,0,0,64,0,0,14,1,0.975,0.173655,0.068007,-0.982455,-0.092569,0.078151,-0.992635,-65.449295,-159.22467,480.572845,-64.26606,-163.733398,481.330994,-60.441681,-165.969864,481.829407,-56.220657,-164.612747,481.776093,-54.086708,-160.461441,481.202301,-55.011726,-155.725754,480.678772,-59.103985,-153.738312,479.94574,-63.309315,-155.089203,479.999023,-5.462631,-146.899612,444.03302,-3.693467,-151.36026,445.468353,0.379073,-153.183823,446.878998,4.368016,-151.275681,447.438599,5.911057,-146.756531,446.819336,4.105585,-142.300079,445.384003,0.034929,-140.51387,443.973358,-4.275918,-142.128922,443.531158,-28.327248,-120.622696,477.257355,-0.117058,-0.003184,-0.047322, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18430,0,0,0,0,64,0,0,15,1,0.975,0.166085,0.065121,-0.983959,-0.095776,0.081813,-0.992035,-65.673897,-160.086502,482.488251,-64.47625,-164.603119,483.377991,-60.646301,-166.81842,483.957428,-56.432713,-165.421768,483.887115,-54.316654,-161.236649,483.208221,-55.261707,-156.482864,482.545471,-59.355133,-154.530563,481.739014,-63.550518,-155.919662,481.809357,-5.432822,-145.884369,440.86853,-3.649745,-150.341904,442.269012,0.427234,-152.16304,443.671021,4.409099,-150.254639,444.253235,5.937831,-145.737015,443.674652,4.118759,-141.282837,442.27417,0.042946,-139.498932,440.872192,-4.262764,-141.117783,440.410187,-28.233931,-120.692818,477.172241,-0.116265,-0.003092,-0.047369, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18462,0,0,0,0,64,0,0,16,1,0.975,0.166701,0.072012,-0.983374,-0.08853,0.071733,-0.993487,-65.139153,-158.779785,478.856445,-63.882778,-163.252899,479.636841,-60.017563,-165.390732,480.042999,-55.814587,-163.930191,479.837006,-53.746475,-159.733902,479.139526,-54.740135,-155.025696,478.578796,-58.873367,-153.147919,477.952972,-63.061356,-154.598602,478.158966,-5.25348,-146.5728,442.819427,-3.513394,-151.019608,444.375061,0.525435,-152.828934,445.863281,4.494939,-150.912979,446.412323,6.042501,-146.3983,445.700531,4.263753,-141.957458,444.144897,0.228002,-140.187607,442.656677,-4.061146,-141.801834,442.21167,-28.280594,-120.652397,477.306,-0.114927,-0.000314,-0.045974, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18494,0,0,0,0,64,0,0,17,1,0.975,0.164323,0.067031,-0.984126,-0.078642,0.071249,-0.994354,-64.911331,-158.626297,478.01236,-63.677444,-163.108261,478.925507,-59.857384,-165.278244,479.579132,-55.693134,-163.851456,479.590363,-53.637669,-159.668137,478.952637,-54.630737,-154.945816,478.271362,-58.70483,-153.041901,477.385895,-62.849834,-154.462341,477.374634,-5.056803,-147.73259,446.446533,-3.314224,-152.155136,447.988647,0.704442,-153.946289,449.473175,4.643109,-152.029327,450.030457,6.167785,-147.531235,449.334045,4.387372,-143.11438,447.791931,0.371532,-141.362061,446.307434,-3.887451,-142.979782,445.853729,-28.209494,-120.625725,477.524933,-0.112877,-0.003353,-0.044585, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18537,0,0,0,0,64,0,0,18,1,0.975,0.164283,0.057214,-0.984753,-0.092263,0.077973,-0.992677,-64.784042,-158.61615,477.768188,-63.57436,-163.106888,478.788788,-59.77459,-165.285294,479.523834,-55.615189,-163.860077,479.542725,-53.547913,-159.671021,478.834381,-54.521175,-154.93396,478.04068,-58.572334,-153.030304,477.078735,-62.71022,-154.448578,477.059845,-5.153616,-145.75386,440.907379,-3.372668,-150.189163,442.35257,0.675406,-151.990875,443.823303,4.618848,-150.076263,444.458038,6.121408,-145.569046,443.884979,4.303283,-141.136749,442.439758,0.255796,-139.373627,440.969025,-4.013699,-140.999252,440.446594,-28.121027,-120.44635,477.291962,-0.113088,-0.003793,-0.044804, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18569,0,0,0,0,64,0,0,19,1,0.975,0.165401,0.069348,-0.983785,-0.089916,0.07783,-0.992904,-64.506439,-157.985855,476.875702,-63.259434,-162.458527,477.679077,-59.425961,-164.625,478.247742,-55.255455,-163.204086,478.248566,-53.202957,-159.032227,477.681091,-54.203514,-154.325394,477.114227,-58.294861,-152.415924,476.309052,-62.448444,-153.831085,476.308228,-4.990394,-143.466431,434.586151,-3.292639,-147.94046,436.090668,0.707859,-149.821808,437.660461,4.668581,-147.979172,438.375946,6.241392,-143.493042,437.818024,4.50401,-139.020569,436.313507,0.502221,-137.180603,434.743744,-3.779831,-138.727798,434.130798,-27.977808,-120.190033,476.901245,-0.111855,-0.005285,-0.043302, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18590,0,0,0,0,64,0,0,20,1,0.975,0.171279,0.077886,-0.982139,-0.089211,0.079079,-0.992868,-64.164246,-157.803497,476.443237,-62.899292,-162.27562,477.291382,-59.077763,-164.437271,477.988251,-54.940441,-163.008759,478.125641,-52.924129,-158.8293,477.623077,-53.957108,-154.119751,477.020874,-58.02634,-152.217926,476.078033,-62.144924,-153.643051,475.940674,-4.825093,-144.335571,437.356171,-3.06941,-148.788544,438.839172,0.960493,-150.615982,440.372589,4.904161,-148.718872,441.058197,6.424136,-144.210175,440.494385,4.629797,-139.759552,439.011383,0.599583,-137.972458,437.477966,-3.668972,-139.578674,436.898529,-27.81081,-120.304764,477.671844,-0.108431,-0.003998,-0.043032, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
