millis,mouseX,mouseY,target_x,target_y,target_size,click,Success,frame_number,landmark_detection_success,landmark_detection_confidence,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,eye_lmk_X_0,eye_lmk_Y_0,eye_lmk_Z_0,eye_lmk_X_1,eye_lmk_Y_1,eye_lmk_Z_1,eye_lmk_X_2,eye_lmk_Y_2,eye_lmk_Z_2,eye_lmk_X_3,eye_lmk_Y_3,eye_lmk_Z_3,eye_lmk_X_4,eye_lmk_Y_4,eye_lmk_Z_4,eye_lmk_X_5,eye_lmk_Y_5,eye_lmk_Z_5,eye_lmk_X_6,eye_lmk_Y_6,eye_lmk_Z_6,eye_lmk_X_7,eye_lmk_Y_7,eye_lmk_Z_7,eye_lmk_X_28,eye_lmk_Y_28,eye_lmk_Z_28,eye_lmk_X_29,eye_lmk_Y_29,eye_lmk_Z_29,eye_lmk_X_30,eye_lmk_Y_30,eye_lmk_Z_30,eye_lmk_X_31,eye_lmk_Y_31,eye_lmk_Z_31,eye_lmk_X_32,eye_lmk_Y_32,eye_lmk_Z_32,eye_lmk_X_33,eye_lmk_Y_33,eye_lmk_Z_33,eye_lmk_X_34,eye_lmk_Y_34,eye_lmk_Z_34,eye_lmk_X_35,eye_lmk_Y_35,eye_lmk_Z_35,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz
18163,960,540,0,0,32,0,0,11, 1, 0.975000, 0.234995, 0.290633, -0.927529, 0.095959, 0.447604, -0.889068, -160.154694, -95.825554, 567.977356, -162.416397, -100.184669, 569.210754, -160.965942, -104.612267, 569.321106, -156.658859, -106.492630, 568.243713, -152.039185, -104.729996, 566.609741, -149.346008, -100.392982, 565.505432, -151.249329, -95.982574, 565.265930, -155.526688, -94.094139, 566.343323, -114.687172, -127.830643, 522.576660, -117.158745, -132.162216, 523.937500, -115.967957, -136.743332, 524.425476, -111.811447, -138.867676, 523.754639, -107.146614, -137.289383, 522.318054, -104.706902, -132.955734, 520.957214, -105.898941, -128.406815, 520.469299, -109.940727, -125.858490, 521.315796, -113.938423, -102.357491, 602.839966, 0.422266, -0.032888, -0.853154, 
18206,960,540,0,0,32,0,0,12, 1, 0.975000, 0.229305, 0.280520, -0.932056, 0.090274, 0.439070, -0.893906, -159.398666, -94.892273, 566.248230, -161.662994, -99.242554, 567.576416, -160.225357, -103.671524, 567.707031, -155.934021, -105.561012, 566.563599, -151.325195, -103.809982, 564.815857, -148.625961, -99.479164, 563.604919, -150.521530, -95.072464, 563.357056, -154.781189, -93.174774, 564.500488, -115.092178, -127.734879, 523.597595, -117.604752, -132.038361, 525.074768, -116.471031, -136.633316, 525.594299, -112.354202, -138.803436, 524.851929, -107.690102, -137.275696, 523.282532, -105.211868, -132.969604, 521.805359, -106.346939, -128.409515, 521.285828, -110.333496, -125.813210, 522.193237, -113.844795, -102.531502, 604.246094, 0.415104, -0.033275, -0.865365, 
18238,960,540,0,0,32,0,0,13, 1, 0.975000, 0.229363, 0.278035, -0.932786, 0.089276, 0.436389, -0.895318, -160.732178, -95.407845, 570.146790, -162.996613, -99.757050, 571.525879, -161.562668, -104.188316, 571.663147, -157.276566, -106.081436, 570.478088, -152.672058, -104.333328, 568.664978, -149.970154, -100.002174, 567.396118, -151.865143, -95.595734, 567.148621, -156.118744, -93.694290, 568.333618, -117.606323, -129.612183, 532.672913, -120.096817, -133.923325, 534.201904, -118.949593, -138.507904, 534.681763, -114.836838, -140.654648, 533.831360, -110.192780, -139.105194, 532.148865, -107.737694, -134.792816, 530.619812, -108.884705, -130.244568, 530.139954, -112.860527, -127.670181, 531.152283, -114.231491, -102.882423, 606.102234, 0.413469, -0.034272, -0.874991, 
18270,960,540,0,0,32,0,0,14, 1, 0.975000, 0.246393, 0.278024, -0.928436, 0.102403, 0.438270, -0.892991, -168.605225, -98.903389, 594.487488, -170.936432, -103.226753, 596.009583, -169.568161, -107.696182, 596.248413, -165.306961, -109.668373, 595.064148, -160.672592, -107.992271, 593.150391, -157.900162, -103.685234, 591.731567, -159.735855, -99.241112, 591.389465, -163.963715, -97.262917, 592.573792, -128.098557, -138.088486, 571.517517, -130.506317, -142.443466, 573.090698, -129.295303, -146.990982, 573.388794, -125.178596, -149.040436, 572.237244, -120.592781, -147.393951, 570.310547, -118.220612, -143.042709, 568.737427, -119.426468, -138.532944, 568.439270, -123.396507, -136.054337, 569.754395, -115.760841, -103.847244, 610.744507, 0.413062, -0.047542, -0.897067, 
18302,960,540,0,0,32,0,0,15, 1, 0.975000, 0.261955, 0.264059, -0.928252, 0.120559, 0.423982, -0.897611, -168.714493, -97.263580, 589.853149, -171.110397, -101.563400, 591.345764, -169.799988, -106.055969, 591.599426, -165.555252, -108.084854, 590.465637, -160.886078, -106.465164, 588.608459, -158.051483, -102.187752, 587.226196, -159.827423, -97.712982, 586.862183, -164.039124, -95.678955, 587.995972, -128.875366, -139.007645, 572.442261, -131.321854, -143.355026, 574.014282, -130.130493, -147.927124, 574.399841, -126.001274, -150.019928, 573.372925, -121.377693, -148.408554, 571.535217, -118.966042, -144.062668, 569.963135, -120.154388, -139.526993, 569.577637, -124.141975, -137.003906, 570.766418, -117.468315, -105.156586, 614.612915, 0.393310, -0.066889, -0.910912, 
18337,960,540,0,0,32,0,0,16, 1, 0.975000, 0.274083, 0.234251, -0.932741, 0.129549, 0.399088, -0.907714, -160.521454, -89.787445, 553.483276, -162.972412, -94.058372, 554.821472, -161.713776, -98.556175, 555.005310, -157.487335, -100.621910, 553.927124, -152.791870, -99.049652, 552.218506, -149.909714, -94.813812, 551.004333, -151.625702, -90.321007, 550.696533, -155.819641, -88.249405, 551.774719, -120.749786, -132.231598, 536.336243, -123.254822, -136.558228, 537.821045, -122.105133, -141.153625, 538.277771, -117.974480, -143.300949, 537.438904, -113.306908, -141.741669, 535.795776, -110.836334, -137.414200, 534.310974, -111.985641, -132.854095, 533.854248, -115.983017, -130.280304, 534.860352, -116.349113, -104.621750, 605.698975, 0.352795, -0.086659, -0.929823, 
18357,960,540,0,0,32,0,0,17, 1, 0.975000, 0.282088, 0.182575, -0.941856, 0.145463, 0.361978, -0.920767, -148.603989, -80.722221, 512.518555, -151.318054, -84.832001, 513.786499, -150.356308, -89.400993, 514.036011, -146.283783, -91.728661, 513.120911, -141.509354, -90.452927, 511.577332, -138.376816, -86.405869, 510.452667, -139.787415, -81.810135, 510.059906, -143.827148, -79.480484, 510.974976, -112.507065, -124.335472, 495.801514, -115.385193, -128.420334, 497.261658, -114.664879, -133.124588, 497.995514, -110.760864, -135.670059, 497.573212, -105.982788, -134.557739, 496.242126, -103.136848, -130.461655, 494.782013, -103.867393, -125.789200, 494.048126, -107.619530, -122.830803, 494.628510, -114.920921, -104.863930, 598.050720, 0.290546, -0.115752, -0.972589, 
18568,960,540,0,0,32,0,0,18, 0, 0.025000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, -174.453339, -137.465958, 536.047119, -173.640594, -141.784164, 535.455139, -169.825500, -144.142487, 534.492004, -165.252350, -143.169754, 533.721863, -162.590317, -139.445297, 533.595886, -163.061462, -135.002106, 534.409241, -167.191010, -132.767654, 535.151001, -171.777893, -133.726913, 535.921143, -91.204185, -121.285599, 426.107330, -90.792389, -125.526535, 425.218323, -87.279198, -127.986870, 424.000671, -82.736488, -127.243095, 423.167694, -79.808907, -123.744164, 423.207306, -80.197487, -119.521988, 424.096344, -83.691032, -117.036629, 425.313995, -88.451431, -117.542747, 426.519104, -112.508553, -105.953262, 591.042664, 0.228033, -0.140730, -1.009476, 
18601,960,540,0,0,32,0,0,19, 0, 0.025000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, -152.072250, -72.423790, 540.579285, -155.660019, -75.623764, 541.329102, -155.918091, -80.123199, 541.044006, -152.697815, -83.266983, 539.890991, -147.904724, -83.216934, 538.545471, -143.939102, -80.235046, 537.935425, -144.082352, -75.549789, 538.080750, -147.275574, -72.401184, 539.233765, -127.587303, -114.828087, 504.722870, -131.503357, -117.823921, 506.007446, -132.269958, -122.504990, 506.820831, -129.423721, -126.115822, 506.686554, -124.645744, -126.526711, 505.683289, -120.749199, -123.510323, 504.398743, -120.002823, -118.848152, 503.585358, -122.596985, -114.900452, 503.883240, -118.476807, -104.374596, 600.522888, 0.401624, -0.179569, -1.254086, 
18732,960,540,0,0,32,0,0,20, 1, 0.975000, 0.201245, 0.520735, -0.829660, 0.044874, 0.541747, -0.839343, -118.943504, -132.791595, 417.071350, -118.153534, -136.849396, 416.071381, -114.424828, -138.731262, 414.327118, -109.964081, -137.358139, 412.860291, -107.364578, -133.557068, 412.530151, -107.742912, -129.395416, 413.688782, -111.823387, -127.616531, 415.274384, -116.312134, -128.957581, 416.741211, -66.023842, -141.749603, 411.451904, -65.538628, -146.407364, 411.803680, -62.031689, -149.279160, 412.049438, -57.558205, -148.676178, 412.045197, -54.745178, -144.952530, 411.793427, -55.239597, -140.296158, 411.441650, -58.745293, -137.433670, 411.195892, -63.450104, -137.733505, 411.442932, -84.743248, -112.944817, 460.636749, 0.665711, 0.151449, -0.238540, 
