millis,mouseX,mouseY,target_x,target_y,target_size,click,Success,frame_number,landmark_detection_success,landmark_detection_confidence,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,eye_lmk_X_0,eye_lmk_Y_0,eye_lmk_Z_0,eye_lmk_X_1,eye_lmk_Y_1,eye_lmk_Z_1,eye_lmk_X_2,eye_lmk_Y_2,eye_lmk_Z_2,eye_lmk_X_3,eye_lmk_Y_3,eye_lmk_Z_3,eye_lmk_X_4,eye_lmk_Y_4,eye_lmk_Z_4,eye_lmk_X_5,eye_lmk_Y_5,eye_lmk_Z_5,eye_lmk_X_6,eye_lmk_Y_6,eye_lmk_Z_6,eye_lmk_X_7,eye_lmk_Y_7,eye_lmk_Z_7,eye_lmk_X_28,eye_lmk_Y_28,eye_lmk_Z_28,eye_lmk_X_29,eye_lmk_Y_29,eye_lmk_Z_29,eye_lmk_X_30,eye_lmk_Y_30,eye_lmk_Z_30,eye_lmk_X_31,eye_lmk_Y_31,eye_lmk_Z_31,eye_lmk_X_32,eye_lmk_Y_32,eye_lmk_Z_32,eye_lmk_X_33,eye_lmk_Y_33,eye_lmk_Z_33,eye_lmk_X_34,eye_lmk_Y_34,eye_lmk_Z_34,eye_lmk_X_35,eye_lmk_Y_35,eye_lmk_Z_35,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz
18918,1146,281,0,0,32,0,0,1, 1, 0.925000, 0.188276, 0.216919, -0.957861, -0.081324, 0.247450, -0.965482, -64.631760, -200.746811, 575.727051, -63.575558, -205.695145, 577.063416, -59.650135, -208.293655, 578.233887, -55.155392, -207.001160, 578.552795, -52.743347, -202.576111, 577.833435, -53.552139, -197.366211, 576.753418, -57.751118, -195.058136, 575.326660, -62.218964, -196.348740, 575.007690, -1.096005, -190.238190, 546.102600, 1.175661, -194.794174, 547.512268, 5.746815, -196.290726, 547.990967, 9.920160, -193.838348, 547.258362, 11.237840, -188.892517, 545.743530, 8.947488, -184.363281, 544.333862, 4.403986, -182.884903, 543.855164, -0.088844, -185.007782, 544.767578, -23.410988, -142.308243, 518.149170, -0.070552, -0.010196, -0.023002, 
18950,1146,281,0,0,32,0,0,2, 1, 0.975000, 0.129795, 0.182689, -0.974566, 0.026799, 0.189099, -0.981592, -66.937386, -199.046356, 566.914368, -65.833733, -203.954941, 568.494141, -61.815865, -206.435959, 569.350952, -57.248482, -205.016800, 568.982849, -54.827175, -200.539719, 567.605469, -55.647942, -195.351410, 566.207642, -59.961300, -193.192749, 565.168884, -64.500351, -194.596466, 565.536987, -0.181606, -186.725037, 530.664368, 1.722764, -191.348846, 532.752686, 6.009118, -193.081894, 534.425049, 10.157442, -190.880966, 534.701843, 11.708400, -186.047226, 533.420898, 9.762555, -181.440247, 531.332581, 5.489083, -179.746887, 529.660217, 1.005975, -181.603973, 529.453735, -23.506578, -139.031174, 501.095825, -0.087231, -0.005587, -0.030048, 
18983,1146,281,0,0,32,0,0,3, 1, 0.975000, 0.156104, 0.249229, -0.955781, -0.085456, 0.268751, -0.959411, -64.594765, -189.647537, 550.016418, -63.412422, -194.545441, 550.425842, -59.292534, -197.123917, 550.812927, -54.648056, -195.865997, 550.950989, -52.206108, -191.508133, 550.759094, -53.092201, -186.407242, 550.638672, -57.518044, -184.040543, 549.962524, -62.153427, -185.299011, 549.824524, -1.156804, -173.331390, 500.834259, 1.175555, -177.889893, 501.896912, 5.763430, -179.439072, 502.827728, 9.914458, -177.054169, 503.081512, 11.180010, -172.137543, 502.509583, 8.823618, -167.586548, 501.446960, 4.242626, -166.061798, 500.516113, -0.268429, -168.185944, 500.448700, -23.303606, -138.731567, 502.048157, -0.090302, -0.009845, -0.028092, 
19004,1146,281,0,0,32,0,0,4, 1, 0.975000, 0.128051, 0.235400, -0.963426, -0.053178, 0.257621, -0.964782, -66.686935, -194.781830, 562.836304, -65.610512, -199.734268, 563.703125, -61.625366, -202.403839, 564.557556, -57.064289, -201.213165, 564.899109, -54.612366, -196.858307, 564.527649, -55.423550, -191.679016, 563.944458, -59.694996, -189.253586, 562.806458, -64.237305, -190.446213, 562.464905, -0.532918, -184.474442, 531.619995, 1.825750, -188.980881, 532.725769, 6.422207, -190.416107, 533.382568, 10.553136, -187.926147, 533.205627, 11.785454, -182.980484, 532.298523, 9.407987, -178.489517, 531.192749, 4.826698, -177.073013, 530.535950, 0.349769, -179.286530, 530.907532, -23.306192, -138.817245, 502.246979, -0.090480, -0.009795, -0.030391, 
19037,1146,281,0,0,32,0,0,5, 1, 0.975000, 0.144576, 0.215671, -0.965704, -0.026949, 0.241534, -0.970018, -66.059563, -194.093246, 557.616882, -65.022858, -199.078735, 558.908264, -61.054241, -201.718964, 559.943176, -56.480682, -200.448730, 560.115356, -54.000061, -196.014969, 559.323975, -54.774319, -190.773544, 558.280823, -59.028606, -188.419617, 556.997742, -63.575687, -189.685806, 556.825562, -0.479919, -188.439484, 540.448669, 1.792724, -193.016983, 541.958618, 6.364496, -194.528671, 542.849182, 10.543154, -192.071609, 542.598755, 11.862902, -187.099594, 541.354004, 9.564671, -182.542557, 539.844116, 5.012886, -181.055466, 538.953491, 0.493668, -183.200104, 539.360413, -23.404646, -139.137161, 502.755554, -0.086784, -0.010015, -0.031279, 
19070,1146,281,0,0,32,0,0,6, 1, 0.975000, 0.154052, 0.188411, -0.969933, -0.037057, 0.215818, -0.975730, -64.149612, -187.993866, 538.870850, -62.998783, -192.851166, 539.737610, -58.954166, -195.329285, 540.185730, -54.391830, -193.965042, 539.952698, -51.995831, -189.564438, 539.174988, -52.849232, -184.474045, 538.539001, -57.197964, -182.255066, 537.860107, -61.744022, -183.609589, 538.093140, -0.620956, -181.538208, 519.280090, 1.408112, -186.197144, 520.908264, 5.798440, -187.952820, 522.299805, 9.971970, -185.752411, 522.639465, 11.459489, -180.892639, 521.728271, 9.395832, -176.244766, 520.100098, 5.014320, -174.523590, 518.708618, 0.497604, -176.413437, 518.490112, -23.419542, -139.286026, 502.803955, -0.089010, -0.008475, -0.033063, 
19102,1146,281,0,0,32,0,0,7, 1, 0.975000, 0.152772, 0.184954, -0.970800, -0.056693, 0.193877, -0.979386, -63.345078, -185.318649, 530.375549, -62.004410, -189.986191, 530.779602, -57.890705, -192.172989, 530.691956, -53.422985, -190.594543, 530.164001, -51.221813, -186.184952, 529.504944, -52.243435, -181.297379, 529.321899, -56.667805, -179.349014, 529.188477, -61.130722, -180.914063, 529.716492, -0.856849, -177.374985, 506.662720, 1.103598, -182.008682, 508.174438, 5.406825, -183.831100, 509.630005, 9.529631, -181.749695, 510.176758, 11.032495, -176.987701, 509.494415, 9.037528, -172.359650, 507.982697, 4.737748, -170.572617, 506.527161, 0.272357, -172.357925, 506.102417, -23.476494, -139.427567, 503.116730, -0.087769, -0.005231, -0.035116, 
19134,1146,281,0,0,32,0,0,8, 1, 0.975000, 0.153659, 0.175986, -0.972326, -0.066435, 0.188953, -0.979736, -62.068993, -181.248917, 518.042603, -60.688183, -185.880692, 518.374146, -56.561020, -187.960373, 518.011292, -52.118832, -186.268600, 517.166565, -49.964592, -181.810471, 516.334778, -51.006824, -176.955231, 516.197144, -55.454365, -175.120483, 516.366150, -59.895412, -176.792328, 517.210876, -0.967523, -174.284637, 497.376709, 0.964484, -178.913834, 498.850922, 5.240563, -180.764557, 500.314026, 9.354408, -178.727341, 500.908997, 10.871600, -173.998505, 500.287292, 8.904837, -169.373459, 498.813080, 4.630783, -167.558578, 497.349976, 0.176048, -169.302917, 496.877960, -23.543676, -139.556824, 503.269562, -0.083843, -0.000909, -0.036515, 
19176,1146,281,0,0,32,0,0,9, 1, 0.975000, 0.142528, 0.176044, -0.974009, -0.072666, 0.186015, -0.979856, -63.058540, -183.854538, 525.031189, -61.695488, -188.468460, 525.397949, -57.596561, -190.588516, 525.229248, -53.173115, -188.970276, 524.623901, -51.018829, -184.572113, 523.936523, -52.060459, -179.737778, 523.783264, -56.469742, -177.856644, 523.738464, -60.889713, -179.460052, 524.343811, -0.999590, -174.159134, 496.717773, 0.940283, -178.755051, 498.095490, 5.215237, -180.589127, 499.456085, 9.319506, -178.563416, 500.002533, 10.825968, -173.867294, 499.414764, 8.853684, -169.275269, 498.037048, 4.580888, -167.474518, 496.676483, 0.137454, -169.213150, 496.263641, -23.566828, -139.642502, 503.352173, -0.082554, 0.001334, -0.037708, 
19208,1146,281,0,0,32,0,0,10, 1, 0.975000, 0.145753, 0.178275, -0.973126, -0.072575, 0.187372, -0.979604, -62.937492, -183.509186, 523.847351, -61.550648, -188.114914, 524.227966, -57.445412, -190.225174, 524.126282, -53.035809, -188.600739, 523.601807, -50.907856, -184.202576, 522.961731, -51.981285, -179.375122, 522.801147, -56.391075, -177.504272, 522.682800, -60.796497, -179.115402, 523.207275, -0.972945, -174.101563, 496.410614, 0.967648, -178.688416, 497.784607, 5.235794, -180.518097, 499.154846, 9.329983, -178.495148, 499.718658, 10.828941, -173.807129, 499.145782, 8.855897, -169.223816, 497.771790, 4.589563, -167.427582, 496.401550, 0.155596, -169.165100, 495.970673, -23.631407, -139.861847, 503.994263, -0.077824, 0.003275, -0.038974, 
