millis,mouseX,mouseY,target_x,target_y,target_size,click,Success,frame_number,landmark_detection_success,landmark_detection_confidence,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,eye_lmk_X_0,eye_lmk_Y_0,eye_lmk_Z_0,eye_lmk_X_1,eye_lmk_Y_1,eye_lmk_Z_1,eye_lmk_X_2,eye_lmk_Y_2,eye_lmk_Z_2,eye_lmk_X_3,eye_lmk_Y_3,eye_lmk_Z_3,eye_lmk_X_4,eye_lmk_Y_4,eye_lmk_Z_4,eye_lmk_X_5,eye_lmk_Y_5,eye_lmk_Z_5,eye_lmk_X_6,eye_lmk_Y_6,eye_lmk_Z_6,eye_lmk_X_7,eye_lmk_Y_7,eye_lmk_Z_7,eye_lmk_X_28,eye_lmk_Y_28,eye_lmk_Z_28,eye_lmk_X_29,eye_lmk_Y_29,eye_lmk_Z_29,eye_lmk_X_30,eye_lmk_Y_30,eye_lmk_Z_30,eye_lmk_X_31,eye_lmk_Y_31,eye_lmk_Z_31,eye_lmk_X_32,eye_lmk_Y_32,eye_lmk_Z_32,eye_lmk_X_33,eye_lmk_Y_33,eye_lmk_Z_33,eye_lmk_X_34,eye_lmk_Y_34,eye_lmk_Z_34,eye_lmk_X_35,eye_lmk_Y_35,eye_lmk_Z_35,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz
25292,1538,107,0,0,32,0,0,1, 1, 0.975000, 0.232480, 0.146486, -0.961506, 0.009470, 0.165366, -0.986187, -46.360172, -174.835327, 482.097046, -45.058002, -179.590958, 483.385895, -41.142834, -181.929626, 484.666046, -36.906746, -180.458771, 485.187622, -34.853271, -176.039703, 484.645111, -35.956604, -171.027481, 483.619202, -40.103706, -168.976883, 482.076111, -44.308601, -170.448212, 481.554535, 10.327229, -167.287369, 470.109436, 12.166130, -171.874802, 471.974365, 16.164076, -173.740173, 474.157684, 19.983622, -171.753632, 475.380493, 21.354038, -167.077820, 474.926453, 19.468140, -162.488907, 473.061554, 15.463884, -160.676071, 470.878235, 11.293633, -162.371429, 469.700806, -14.693626, -145.950195, 513.906921, -0.048401, -0.037400, 0.024267, 
25391,1538,107,0,0,32,0,0,2, 1, 0.975000, 0.212914, 0.171622, -0.961880, 0.041031, 0.177246, -0.983311, -50.738552, -191.942413, 531.291016, -49.313168, -196.649323, 532.136719, -45.204063, -198.865463, 532.677307, -40.823505, -197.281143, 532.596130, -38.749046, -192.829727, 531.940735, -39.907372, -187.881271, 531.334656, -44.292324, -185.930573, 530.554443, -48.656670, -187.507324, 530.635620, 10.846833, -183.353714, 515.946045, 12.946984, -187.887131, 517.611450, 17.217424, -189.543442, 519.310059, 21.154736, -187.324692, 520.046753, 22.426054, -182.534668, 519.390076, 20.288553, -178.006912, 517.724609, 16.020775, -176.389740, 516.026001, 11.726633, -178.325623, 515.383118, -15.311417, -143.414520, 506.276245, -0.077188, -0.034507, 0.023953, 
25424,1538,107,0,0,32,0,0,3, 1, 0.975000, 0.157577, 0.239640, -0.957989, 0.016467, 0.259365, -0.965639, -55.948456, -212.369308, 594.959534, -54.653164, -217.283508, 596.248352, -50.568169, -219.712830, 597.293152, -46.089180, -218.216965, 597.481934, -43.857235, -213.675522, 596.704041, -44.903057, -208.493210, 595.663696, -49.258049, -206.361176, 594.370422, -53.712589, -207.852295, 594.181702, 9.573339, -187.094711, 532.558289, 11.739766, -191.718750, 534.622437, 16.116766, -193.303833, 536.539978, 20.134569, -190.890244, 537.187622, 21.408991, -185.901154, 536.186096, 19.199247, -181.290283, 534.122009, 14.830458, -179.749268, 532.204468, 10.444178, -181.849548, 531.620300, -15.467131, -143.764938, 509.617981, -0.071385, -0.036210, 0.020309, 
25490,1538,107,0,0,32,0,0,4, 1, 0.975000, 0.228461, 0.223675, -0.947510, 0.007581, 0.258163, -0.966072, -53.251755, -200.671158, 562.616699, -52.004528, -205.557434, 563.665344, -48.032341, -208.108032, 564.907471, -43.656895, -206.811218, 565.615540, -41.458172, -202.421844, 565.374634, -42.486801, -197.295303, 564.627014, -46.708878, -195.003281, 563.083862, -51.060390, -196.306808, 562.375854, 9.881701, -184.738739, 526.477356, 12.115253, -189.337524, 528.340088, 16.556484, -190.896805, 530.010376, 20.596981, -188.475220, 530.509705, 21.842203, -183.500534, 529.545593, 19.569485, -178.914841, 527.682861, 15.137855, -177.395020, 526.012573, 10.732641, -179.512711, 525.604431, -15.283621, -142.450256, 505.387848, -0.081076, -0.039133, 0.015808, 
25576,1538,107,0,0,32,0,0,5, 1, 0.975000, 0.227860, 0.172719, -0.958253, 0.072238, 0.172219, -0.982406, -50.946922, -192.859985, 535.501038, -49.637051, -197.645630, 536.567932, -45.665577, -200.050507, 537.705811, -41.356277, -198.648148, 538.248169, -39.250599, -194.257919, 537.877319, -40.343056, -189.229111, 537.091370, -44.560051, -187.089401, 535.672546, -48.845093, -188.494797, 535.130127, 11.399156, -187.019897, 526.682617, 13.516828, -191.555756, 528.399658, 17.744436, -193.218063, 530.300110, 21.605955, -191.003281, 531.270569, 22.811666, -186.210678, 530.742676, 20.654892, -181.677460, 529.025635, 16.426689, -180.057281, 527.125244, 12.196668, -181.996613, 526.233154, -14.971283, -143.887115, 508.106232, -0.082288, -0.032706, 0.011397, 
25653,1538,107,0,0,32,0,0,6, 1, 0.975000, 0.231971, 0.165099, -0.958609, 0.036408, 0.156947, -0.986936, -48.643963, -183.343536, 507.692139, -47.526077, -188.171494, 509.258392, -43.818233, -190.659500, 511.068909, -39.685081, -189.322052, 512.063171, -37.574032, -184.937317, 511.658691, -38.532825, -179.842834, 510.376770, -42.447254, -177.653564, 508.281952, -46.543274, -178.998505, 507.287689, 10.576823, -175.263550, 492.770630, 12.488197, -179.835175, 494.584473, 16.528730, -181.655685, 496.727203, 20.335516, -179.623734, 497.943634, 21.647305, -174.928543, 497.521210, 19.691690, -170.355392, 495.707397, 15.645524, -168.584259, 493.564667, 11.480618, -170.332550, 492.400452, -14.944784, -145.888718, 513.277649, -0.075084, -0.027745, 0.008282, 
25696,1538,107,0,0,32,0,0,7, 1, 0.975000, 0.166292, 0.172050, -0.970951, -0.077541, 0.155412, -0.984802, -50.988647, -186.527405, 517.489014, -49.381451, -191.054062, 517.965820, -45.204838, -192.922653, 517.762573, -40.918636, -191.035782, 516.998352, -39.036144, -186.512253, 516.120850, -40.331989, -181.741302, 515.835571, -44.804756, -180.140060, 515.847290, -49.087425, -182.007858, 516.611511, 8.356285, -175.672409, 494.629089, 10.276360, -180.198471, 496.114532, 14.446732, -182.013580, 497.694916, 18.424862, -180.028214, 498.444489, 19.855455, -175.406570, 497.924164, 17.899975, -170.882187, 496.438721, 13.728966, -169.104172, 494.858307, 9.411871, -170.809250, 494.216949, -15.208171, -146.615860, 515.790039, -0.069119, -0.029527, 0.001758, 
25729,1538,107,0,0,32,0,0,8, 1, 0.975000, 0.130738, 0.148553, -0.980224, -0.092951, 0.145215, -0.985024, -51.876736, -188.789505, 522.730591, -50.349358, -193.306717, 523.335876, -46.253548, -195.266785, 523.415405, -41.998463, -193.515579, 522.922546, -40.082455, -189.088943, 522.146057, -41.319836, -184.330811, 521.748779, -45.699818, -182.634247, 521.461243, -49.946743, -184.371307, 521.954102, 8.122548, -173.889023, 489.120239, 10.073811, -178.355164, 490.524719, 14.258307, -180.102051, 491.931824, 18.223410, -178.082474, 492.517273, 19.623268, -173.482269, 491.938110, 17.639271, -169.020096, 490.533630, 13.456742, -167.307037, 489.126556, 9.157176, -169.049286, 488.662689, -15.198519, -146.491821, 515.255554, -0.070345, -0.028850, 0.000792, 
25772,1538,107,0,0,32,0,0,9, 1, 0.975000, 0.128014, 0.148134, -0.980647, -0.099227, 0.138030, -0.985445, -51.691803, -188.166687, 520.654846, -50.135883, -192.636169, 521.189087, -46.043049, -194.531891, 521.171631, -41.821243, -192.738754, 520.612732, -39.947929, -188.317780, 519.839783, -41.209946, -183.607925, 519.509583, -45.588062, -181.974075, 519.323059, -49.803703, -183.752197, 519.881958, 7.988349, -172.781876, 485.719910, 9.884303, -177.266953, 487.209167, 14.048394, -179.046143, 488.635651, 18.038870, -177.052567, 489.163788, 19.494078, -172.458069, 488.484161, 17.563978, -167.978714, 486.994904, 13.403366, -166.234421, 485.568420, 9.084517, -167.938873, 485.155090, -15.128997, -146.054947, 513.791199, -0.073505, -0.028637, 0.000639, 
25805,1538,107,0,0,32,0,0,10, 1, 0.975000, 0.126047, 0.137440, -0.982457, -0.096608, 0.133498, -0.986329, -51.263863, -186.797577, 516.167114, -49.702656, -191.224915, 516.611389, -45.622341, -193.079666, 516.500183, -41.423756, -191.272247, 515.898621, -39.569252, -186.872238, 515.159180, -40.832203, -182.209030, 514.917542, -45.199875, -180.609833, 514.826111, -49.394386, -182.401962, 515.427673, 7.857697, -170.287216, 478.295837, 9.727384, -174.781128, 479.786163, 13.846540, -176.600998, 481.339844, 17.802307, -174.654251, 482.046753, 19.251982, -170.082932, 481.492798, 17.346359, -165.591400, 480.002472, 13.227106, -163.809052, 478.448792, 8.938517, -165.471939, 477.848602, -15.042618, -145.316208, 511.347717, -0.076706, -0.025795, -0.000965, 
